time_ns,DeltaG_kcal_per_mol,dDeltaG_kcal_per_mol
0.048,,
0.07200000000000001,,
0.096,-6.709868635660068,0.2588979234484426
0.12,-6.651277746429713,0.22419970709807907
0.14400000000000002,-6.922772064120254,0.19886904191880697
0.168,-6.852361466261079,0.1815399045254381
0.192,-6.997176570643166,0.16753419048176063
0.216,-6.861149980545987,0.1568913852533345
0.24,-6.927605349853196,0.14799179566280296
0.264,-6.920833390947281,0.14006595847460257
0.28800000000000003,-6.961957513457144,0.13340356485001875
0.312,-6.926845794103278,0.12789662557417755
0.336,-6.972685924366683,0.12294082186671701
0.36,-6.986723929306487,0.11838144905714514
0.384,-6.969261367473531,0.11430767775554944
0.40800000000000003,-6.987639002590183,0.11067788062589216
0.432,-6.979693452004891,0.10745290746456815
0.456,-6.946431662701477,0.10447261760532195
0.48,-6.961777812972556,0.1016504503725707
0.504,-6.9562523341907445,0.09914373157643996
0.528,-6.891348891343034,0.09676113721804955
0.552,-6.919409854841276,0.09446633483875296
0.5760000000000001,-6.893129302870412,0.09236704915301577
0.6,-6.858375926865561,0.09041770190212052
0.624,-6.832234875647736,0.08863978328299546
0.648,-6.837098824185275,0.08689542161174264
0.672,-6.824641160954134,0.0852495150116928
0.6960000000000001,-6.839687216169677,0.08369847821611469
0.72,-6.859256648607167,0.0821979093085617
0.744,-6.840961439005428,0.08083034741874072
0.768,-6.840075113170084,0.07954337948988188
0.792,-6.833862903097451,0.07831410460927261
0.8160000000000001,-6.808665080806192,0.07716184560221667
0.84,-6.806122706562138,0.07604330537647207
0.864,-6.819180941619267,0.07489396476495579
0.888,-6.835736547048671,0.07381326257802234
0.912,-6.8149319575697636,0.07281570028723364
0.936,-6.786356704820411,0.0719021776008116
0.96,-6.792627859096726,0.07092059381180722
0.984,-6.797155904130077,0.0700065757481376
1.008,-6.804614647513176,0.0691074495180317
1.032,-6.812148749992986,0.06827100123245802
1.056,-6.810813919812708,0.06745676641007396
1.08,-6.818647993517102,0.06669952121550664
1.104,-6.825082487610475,0.06594101883952459
1.1280000000000001,-6.809095933914065,0.0652376138028637
1.1520000000000001,-6.8101089168538405,0.06452155391198798
1.176,-6.808183153342188,0.06384710843860837
1.2,-6.801778830419649,0.0631889818365396
1.224,-6.802849519734747,0.06253195909378939
1.248,-6.8062425617809215,0.06192629078873965
1.272,-6.819069609824724,0.06130825261762634
1.296,-6.817975927566283,0.060720002781425815
1.32,-6.812153189550096,0.060164597957544697
1.344,-6.815332981954317,0.05959345998542033
1.368,-6.812415177413122,0.059050702902810434
1.3920000000000001,-6.811486024702487,0.058526565681106174
1.416,-6.808548047792978,0.05800558727467578
1.44,-6.809655558036998,0.05749481082697975
1.464,-6.807869173157335,0.05701224585104389
1.488,-6.813795645634879,0.056519195881861564
1.512,-6.812891603230598,0.056070769048173104
1.536,-6.807323170724069,0.05564652511019065
1.56,-6.805549438249288,0.055236221409754586
1.584,-6.8111931299093005,0.05480461328481868
1.608,-6.81462167285838,0.054367251715492525
1.6320000000000001,-6.822816446220509,0.053953645740243965
1.6560000000000001,-6.831097634597936,0.053555745767700245
1.68,-6.8346500359170905,0.05316659778451221
1.704,-6.8474686035031445,0.05278081139506832
1.728,-6.840096085997722,0.052418346680757094
1.752,-6.8436570233648855,0.05204677872471999
1.776,-6.867087011103696,0.05163977454909478
1.8,-6.869968624467659,0.051273468268805675
1.824,-6.867200175426195,0.05092415785820787
1.848,-6.861466075817171,0.05059395003910501
1.872,-6.871284122711783,0.050265459689738015
1.8960000000000001,-6.876569500440047,0.049929458966641437
1.92,-6.86447260174583,0.04962185428259222
1.944,-6.869342540483517,0.04931018718696028
1.968,-6.872498590258264,0.04900803864769667
1.992,-6.864252859497709,0.0487229509820645
2.016,-6.880306000247119,0.04840735738574588
2.04,-6.878764773318091,0.04811631974172866
2.064,-6.888426539363273,0.047830594159928706
2.088,-6.893145083926341,0.04754601454635194
2.112,-6.8912581100943395,0.04727501926470297
2.136,-6.8876180295186895,0.04700087624025585
2.16,-6.893845945057324,0.04672734147552347
2.184,-6.899836889569492,0.04646292296195376
2.208,-6.9060907244372896,0.04620102881053178
2.232,-6.902147585012241,0.04596849496519698
2.2560000000000002,-6.88471646273503,0.045745339127295934
2.2800000000000002,-6.881031607395626,0.04549752650759598
2.3040000000000003,-6.90638037879378,0.04523807976138295
2.328,-6.914536308777602,0.04499239144930054
2.352,-6.904698961461248,0.04476765980122394
2.376,-6.896277384898465,0.04454501698049306
2.4,-6.896310674908108,0.044316616266575674
2.424,-6.892424332435493,0.04409625985696987
2.448,-6.89011245997004,0.0438867687817504
2.472,-6.887008364450684,0.04368321918980459
2.496,-6.887649138520703,0.04347378223626599
2.52,-6.894517549200928,0.0432612491138217
2.544,-6.897630821211056,0.04305598478288472
2.568,-6.899728483816787,0.04285093055869705
2.592,-6.897661272039365,0.04264129387373422
2.616,-6.901712622742496,0.04244078272471141
2.64,-6.9003653778807745,0.04224867766020951
2.664,-6.900500166407331,0.042054928076493546
2.688,-6.900335876314756,0.041864566315471675
2.712,-6.892898493245238,0.04168973130991497
2.736,-6.888060884367149,0.041512030648891564
2.7600000000000002,-6.884914019728251,0.041332850242653825
2.7840000000000003,-6.888862328705796,0.041146793645859256
2.8080000000000003,-6.890767465859191,0.0409706329161745
2.832,-6.884587328897936,0.04080214292680006
2.856,-6.889241704910974,0.04062470593062425
2.88,-6.890222463311903,0.04045575319118305
2.904,-6.888998980756992,0.04029016702710681
2.928,-6.890199965710994,0.04011988071914798
2.952,-6.893180068828491,0.03995504451286045
2.976,-6.891832086001206,0.03979709166131778
3.0,-6.897560689291637,0.03962864545951133
3.024,-6.902417990539241,0.0394663185530718
3.048,-6.8973874283383605,0.03931346066848584
3.072,-6.906999995349824,0.03915344993940839
3.096,-6.8998899356268355,0.039008127002135094
3.12,-6.8948563523861806,0.038867795352196484
3.144,-6.895131590322967,0.038714344238004496
3.168,-6.8932686458314345,0.03856671239218756
3.192,-6.899568336577425,0.03842219770792515
3.216,-6.8961066292085915,0.0382769751646445
3.24,-6.883840416372321,0.03814983766039911
3.2640000000000002,-6.882955995430765,0.03800784670746754
3.2880000000000003,-6.889705255128336,0.037860267421392306
3.3120000000000003,-6.890014496041892,0.037720118436553866
3.336,-6.883781353995353,0.037591046032258095
3.36,-6.886061321738959,0.037455661079082096
3.384,-6.885285789337225,0.037322429666774605
3.408,-6.885308765891619,0.03718837387791523
3.432,-6.8873682041852415,0.037054103503012595
3.456,-6.891958200299321,0.036922035770950795
3.48,-6.886930013687755,0.036796852358242337
3.504,-6.883179239964169,0.036667292948929814
3.528,-6.884356075767201,0.03653905927777055
3.552,-6.8869835921565885,0.03641481005380621
3.576,-6.890174640852608,0.0362922550619503
3.6,-6.890176921481794,0.03616913080961439
3.624,-6.877194507130679,0.03605962262963873
3.648,-6.878701212552535,0.035939804930943973
3.672,-6.877288440693259,0.035819364202259
3.696,-6.881740480472194,0.03569600366826537
3.72,-6.878347518613792,0.03558256990962731
3.744,-6.876624723221938,0.035464489145934884
3.7680000000000002,-6.8743796040837095,0.0353555351117303
3.7920000000000003,-6.861473546323846,0.035255181979137254
3.8160000000000003,-6.865475490796381,0.03514105083441144
3.84,-6.869119246422789,0.03502338295266621
3.864,-6.8720026638285745,0.03491309019287911
3.888,-6.871704959756937,0.03480323312111995
3.912,-6.872711384785659,0.034695769980594905
3.936,-6.873444437424568,0.0345865844022423
3.96,-6.872009373926192,0.03448402101966321
3.984,-6.876079112226061,0.03437854107508923
4.008,-6.8762170748126445,0.03427766738954504
4.032,-6.875495988228124,0.034179517341059416
4.056,-6.88230440927708,0.03407207676456055
4.08,-6.880683862641138,0.03397357367472272
4.104,-6.887048104000541,0.03387357668066666
4.128,-6.888321191540749,0.03377496671207513
4.152,-6.886074665994019,0.03367525759444324
4.176,-6.881229517704563,0.033579944614670426
4.2,-6.87136500887384,0.033487110592088545
4.224,-6.874466460486935,0.03338776467731898
4.248,-6.875179706994221,0.03329472124023063
4.272,-6.871229389381265,0.033201495383861905
4.296,-6.874525814494794,0.033106115900171824
4.32,-6.873751677602285,0.033012610589107684
4.344,-6.879533600191583,0.03291607224977364
4.368,-6.879953464985298,0.03282790857781555
4.392,-6.873859919397995,0.03274103529033115
4.416,-6.874224523648829,0.032653193506226
4.44,-6.877078527915352,0.03256242692848823
4.464,-6.885809450751353,0.032472434703246324
4.488,-6.883048460666847,0.03238876126979117
4.5120000000000005,-6.883676410647101,0.03230182335673916
4.5360000000000005,-6.880299741477688,0.032214298856908505
4.5600000000000005,-6.881653481232536,0.03212754808952494
4.5840000000000005,-6.877889867686134,0.03204409412919407
4.6080000000000005,-6.878493339420046,0.03195698279284999
4.632,-6.878220382196003,0.0318755029850518
4.656,-6.882753009932466,0.03178630944269154
4.68,-6.881081825253101,0.031706427457583904
4.704,-6.879819224548297,0.03162333266167713
4.728,-6.875917147937044,0.03154437489009145
4.752,-6.877780235156095,0.031463156955279306
4.776,-6.880173174282598,0.03138053812898164
4.8,-6.884339403545555,0.031302484400870315
4.824,-6.894159335150554,0.03121833930315355
4.848,-6.898712164314448,0.03113835930612095
4.872,-6.8950874524119,0.031062788286024986
4.896,-6.892768436250988,0.030984031692939746
4.92,-6.892209311920407,0.030905427554470975
4.944,-6.894661097350589,0.030823414999987125
4.968,-6.894453640787249,0.030749984856814083
4.992,-6.890572254826876,0.030679429851221445
